D_1,D_2,T_1,T_2,Value
D1000,D1003,P32,P33,0.7873783605475837
D1000,D1007,P32,P33,0.7873783605475837
D1000,D1095,P33,P32,0.7864179586563308
D1000,D1100,P32,P33,0.7898901808785529
D1000,D1104,P32,P33,0.7752596522917137
D1000,D1105,P32,P33,0.7864179586563308
D1000,D4384,P32,P33,0.8761997046880768
D1000,D999,P32,P33,0.8691860465116279
D1001,D1003,P32,P33,0.7807979701110845
D1001,D1007,P32,P33,0.7807979701110845
D1001,D1095,P33,P32,0.7799996084879806
D1001,D1100,P32,P33,0.7833666118549839
D1001,D1105,P32,P33,0.7799996084879806
D1001,D4384,P32,P33,0.8517659611532097
D1001,D999,P32,P33,0.8523901808785529
D1002,D1003,P32,P33,0.8316405155505744
D1002,D1007,P32,P33,0.8615322343244038
D1002,D1095,P33,P32,0.7907296192179913
D1002,D1100,P32,P33,0.788380519042804
D1002,D1105,P32,P33,0.7907296192179913
D1002,D4384,P32,P33,0.7896661665416355
D1002,D999,P32,P33,0.7851387188902489
D1003,D1007,P32,P33,0.8285806570690291
D1003,D1095,P33,P32,0.788380519042804
D1003,D1100,P32,P33,0.7920037074486013
D1003,D1104,P32,P33,0.7766326051209772
D1003,D1105,P32,P33,0.788380519042804
D1003,D4384,P32,P33,0.7873783605475837
D1003,D999,P32,P33,0.7829457364341085
D1004,D1003,P32,P33,0.8101196494775867
D1004,D1007,P32,P33,0.8359760394644115
D1004,D1100,P32,P33,0.7779457364341086
D1004,D4384,P32,P33,0.7957008384749248
D1004,D999,P32,P33,0.7912790697674419
D1006,D1003,P32,P33,0.8285806570690291
D1006,D1007,P32,P33,0.9079457364341085
D1006,D1095,P33,P32,0.788380519042804
D1006,D1100,P32,P33,0.7860819371509544
D1006,D1105,P32,P33,0.788380519042804
D1006,D4384,P32,P33,0.7873783605475837
D1006,D999,P32,P33,0.7829457364341085
D1007,D1003,P32,P33,0.8285806570690291
D1007,D1095,P33,P32,0.788380519042804
D1007,D1100,P32,P33,0.7860819371509544
D1007,D1105,P32,P33,0.788380519042804
D1007,D4384,P32,P33,0.7873783605475837
D1007,D999,P32,P33,0.7829457364341085
D1008,D1003,P32,P33,0.7927193989855489
D1008,D1007,P32,P33,0.7927193989855489
D1008,D1095,P33,P32,0.8050650779978946
D1008,D1100,P32,P33,0.7888981173864895
D1008,D1105,P32,P33,0.7914798729802932
D1008,D4384,P32,P33,0.777677537200392
D1009,D1003,P32,P33,0.8208245243128963
D1009,D1007,P32,P33,0.8412790697674418
D1009,D1095,P33,P32,0.777361543994246
D1009,D1100,P32,P33,0.7864179586563308
D1009,D1105,P32,P33,0.777361543994246
D1009,D4384,P32,P33,0.7766326051209772
D1010,D1003,P32,P33,0.814922480620155
D1010,D1007,P32,P33,0.8356565798076024
D1010,D1095,P33,P32,0.7824977077602734
D1010,D1100,P32,P33,0.7802861619660234
D1010,D1105,P32,P33,0.788380519042804
D1010,D4384,P32,P33,0.7816299469604243
D1010,D999,P32,P33,0.777361543994246
D1011,D1003,P32,P33,0.7996124031007752
D1011,D1007,P32,P33,0.7996124031007752
D1011,D1095,P33,P32,0.7914798729802932
D1011,D1100,P32,P33,0.7888981173864895
D1011,D1105,P32,P33,0.7914798729802932
D1011,D4384,P32,P33,0.7839147286821705
D1011,D999,P32,P33,0.7791578576462297
D1012,D1003,P32,P33,0.7968346253229974
D1012,D1007,P32,P33,0.7907296192179913
D1012,D1095,P33,P32,0.7956268958543983
D1012,D1100,P32,P33,0.7992500842601955
D1012,D1104,P32,P33,0.7833666118549839
D1012,D1105,P32,P33,0.7956268958543983
D1012,D4384,P32,P33,0.8389802191927291
D1012,D999,P32,P33,0.83303936939291
D1013,D1003,P32,P33,0.8206441491325212
D1013,D1007,P32,P33,0.8347750047267914
D1013,D1095,P33,P32,0.8056730091613812
D1013,D1100,P32,P33,0.7968346253229974
D1013,D1104,P32,P33,0.7807979701110845
D1013,D1105,P32,P33,0.7993315042243707
D1013,D4384,P32,P33,0.7802861619660234
D1013,D999,P32,P33,0.776001291989664
D1022,D1033,P361,P776,0.8806724009269078
D1023,D1022,P361,P776,0.956120815333566
D1023,D1033,P361,P776,0.8777738502022702
D1024,D1022,P361,P776,0.9528204853005625
D1024,D1033,P361,P776,0.8848278453286008
D1025,D1022,P361,P776,0.9414872765079852
D1025,D1033,P361,P776,0.8922666038254586
D1026,D1022,P361,P776,0.9489200952615587
D1026,D1033,P361,P776,0.9013415056268942
D1027,D1022,P361,P776,0.8913443376858011
D1027,D1033,P361,P776,0.9622163228435006
D1028,D1022,P361,P776,0.9071510534925169
D1028,D1033,P361,P776,0.8718784927962274
D1029,D1022,P361,P776,0.9011450474865109
D1029,D1033,P361,P776,0.8958897922312556
D1030,D1022,P361,P776,0.9343513306927941
D1030,D1033,P361,P776,0.9169178296144332
D1031,D1022,P361,P776,0.9131853897155323
D1031,D1033,P361,P776,0.8810088398503032
D1032,D1022,P361,P776,0.8913443376858011
D1032,D1033,P361,P776,0.861407033610566
D1033,D1022,P361,P776,0.8806724009269078
